"idx","period","school","exp1","exp2","school_c","work1","work2","home"
1,1,10,0,0,0,0,0,0
1,2,10,1,0,0,1,0,0
1,3,10,2,0,0,1,0,0
1,4,10,3,0,0,1,0,0
1,5,10,3,0,0,0,0,1
1,6,11,3,0,1,0,0,0
1,7,11,4,0,0,1,0,0
1,8,11,4,1,0,0,1,0
1,9,11,5,1,0,1,0,0
1,10,11,5,1,0,0,0,1
1,11,11,6,1,0,1,0,0
1,12,11,7,1,0,1,0,0
1,13,11,7,2,0,0,1,0
1,14,11,8,2,0,1,0,0
1,15,11,9,2,0,1,0,0
1,16,11,10,2,0,1,0,0
1,17,11,11,2,0,1,0,0
1,18,11,12,2,0,1,0,0
1,19,11,13,2,0,1,0,0
1,20,11,14,2,0,1,0,0
1,21,12,14,2,1,0,0,0
1,22,12,15,2,0,1,0,0
1,23,12,16,2,0,1,0,0
1,24,12,17,2,0,1,0,0
1,25,12,17,3,0,0,1,0
1,26,12,18,3,0,1,0,0
1,27,12,19,3,0,1,0,0
1,28,12,19,4,0,0,1,0
1,29,12,19,5,0,0,1,0
1,30,12,19,6,0,0,1,0
1,31,12,19,7,0,0,1,0
1,32,12,20,7,0,1,0,0
1,33,12,21,7,0,1,0,0
1,34,12,22,7,0,1,0,0
1,35,12,22,8,0,0,1,0
1,36,12,22,9,0,0,1,0
1,37,12,23,9,0,1,0,0
1,38,12,23,10,0,0,1,0
1,39,12,23,11,0,0,1,0
1,40,12,23,12,0,0,1,0
1,41,12,23,12,0,0,0,1
2,1,10,0,0,0,0,0,0
2,2,10,1,0,0,1,0,0
2,3,11,1,0,1,0,0,0
2,4,12,1,0,1,0,0,0
2,5,13,1,0,1,0,0,0
2,6,13,1,1,0,0,1,0
2,7,13,2,1,0,1,0,0
2,8,13,3,1,0,1,0,0
2,9,13,4,1,0,1,0,0
2,10,13,5,1,0,1,0,0
2,11,13,6,1,0,1,0,0
2,12,13,7,1,0,1,0,0
2,13,13,8,1,0,1,0,0
2,14,13,8,2,0,0,1,0
2,15,13,9,2,0,1,0,0
2,16,13,10,2,0,1,0,0
2,17,13,10,3,0,0,1,0
2,18,13,11,3,0,1,0,0
2,19,13,12,3,0,1,0,0
2,20,13,13,3,0,1,0,0
2,21,13,14,3,0,1,0,0
2,22,13,15,3,0,1,0,0
2,23,13,16,3,0,1,0,0
2,24,13,17,3,0,1,0,0
2,25,13,18,3,0,1,0,0
2,26,13,19,3,0,1,0,0
2,27,13,19,4,0,0,1,0
2,28,13,19,5,0,0,1,0
2,29,13,20,5,0,1,0,0
2,30,13,20,6,0,0,1,0
2,31,13,21,6,0,1,0,0
2,32,13,21,7,0,0,1,0
2,33,13,22,7,0,1,0,0
2,34,13,22,8,0,0,1,0
2,35,13,23,8,0,1,0,0
2,36,13,24,8,0,1,0,0
2,37,13,24,9,0,0,1,0
2,38,13,24,10,0,0,1,0
2,39,13,25,10,0,1,0,0
2,40,13,26,10,0,1,0,0
2,41,13,26,11,0,0,1,0
3,1,10,0,0,0,0,0,0
3,2,10,1,0,0,1,0,0
3,3,10,2,0,0,1,0,0
3,4,10,3,0,0,1,0,0
3,5,10,4,0,0,1,0,0
3,6,10,5,0,0,1,0,0
3,7,10,6,0,0,1,0,0
3,8,11,6,0,1,0,0,0
3,9,12,6,0,1,0,0,0
3,10,13,6,0,1,0,0,0
3,11,14,6,0,1,0,0,0
3,12,14,7,0,0,1,0,0
3,13,14,8,0,0,1,0,0
3,14,14,9,0,0,1,0,0
3,15,14,10,0,0,1,0,0
3,16,14,11,0,0,1,0,0
3,17,14,12,0,0,1,0,0
3,18,14,13,0,0,1,0,0
3,19,14,14,0,0,1,0,0
3,20,14,15,0,0,1,0,0
3,21,14,16,0,0,1,0,0
3,22,14,17,0,0,1,0,0
3,23,14,18,0,0,1,0,0
3,24,14,19,0,0,1,0,0
3,25,14,20,0,0,1,0,0
3,26,14,20,1,0,0,1,0
3,27,14,20,2,0,0,1,0
3,28,14,21,2,0,1,0,0
3,29,14,22,2,0,1,0,0
3,30,14,23,2,0,1,0,0
3,31,14,24,2,0,1,0,0
3,32,14,25,2,0,1,0,0
3,33,14,26,2,0,1,0,0
3,34,14,27,2,0,1,0,0
3,35,14,28,2,0,1,0,0
3,36,14,29,2,0,1,0,0
3,37,14,30,2,0,1,0,0
3,38,14,31,2,0,1,0,0
3,39,14,31,3,0,0,1,0
3,40,14,31,4,0,0,1,0
3,41,14,32,4,0,1,0,0
4,1,10,0,0,0,0,0,0
4,2,10,1,0,0,1,0,0
4,3,10,2,0,0,1,0,0
4,4,10,3,0,0,1,0,0
4,5,10,4,0,0,1,0,0
4,6,10,5,0,0,1,0,0
4,7,10,6,0,0,1,0,0
4,8,10,7,0,0,1,0,0
4,9,10,8,0,0,1,0,0
4,10,10,9,0,0,1,0,0
4,11,10,10,0,0,1,0,0
4,12,10,11,0,0,1,0,0
4,13,10,11,1,0,0,1,0
4,14,10,12,1,0,1,0,0
4,15,10,13,1,0,1,0,0
4,16,10,14,1,0,1,0,0
4,17,10,15,1,0,1,0,0
4,18,10,16,1,0,1,0,0
4,19,10,17,1,0,1,0,0
4,20,10,18,1,0,1,0,0
4,21,10,19,1,0,1,0,0
4,22,10,19,2,0,0,1,0
4,23,10,19,3,0,0,1,0
4,24,10,19,4,0,0,1,0
4,25,10,20,4,0,1,0,0
4,26,10,21,4,0,1,0,0
4,27,10,22,4,0,1,0,0
4,28,10,23,4,0,1,0,0
4,29,10,24,4,0,1,0,0
4,30,10,25,4,0,1,0,0
4,31,10,26,4,0,1,0,0
4,32,10,27,4,0,1,0,0
4,33,10,27,5,0,0,1,0
4,34,10,28,5,0,1,0,0
4,35,10,28,6,0,0,1,0
4,36,10,29,6,0,1,0,0
4,37,10,30,6,0,1,0,0
4,38,10,30,7,0,0,1,0
4,39,10,30,8,0,0,1,0
4,40,10,30,9,0,0,1,0
4,41,10,30,10,0,0,1,0
5,1,10,0,0,0,0,0,0
5,2,10,1,0,0,1,0,0
5,3,10,2,0,0,1,0,0
5,4,10,3,0,0,1,0,0
5,5,10,4,0,0,1,0,0
5,6,11,4,0,1,0,0,0
5,7,12,4,0,1,0,0,0
5,8,12,5,0,0,1,0,0
5,9,12,6,0,0,1,0,0
5,10,12,7,0,0,1,0,0
5,11,12,8,0,0,1,0,0
5,12,12,9,0,0,1,0,0
5,13,12,10,0,0,1,0,0
5,14,12,11,0,0,1,0,0
5,15,12,12,0,0,1,0,0
5,16,12,13,0,0,1,0,0
5,17,12,14,0,0,1,0,0
5,18,12,15,0,0,1,0,0
5,19,12,16,0,0,1,0,0
5,20,12,17,0,0,1,0,0
5,21,12,18,0,0,1,0,0
5,22,12,18,1,0,0,1,0
5,23,12,19,1,0,1,0,0
5,24,13,19,1,1,0,0,0
5,25,13,20,1,0,1,0,0
5,26,13,21,1,0,1,0,0
5,27,13,21,2,0,0,1,0
5,28,13,22,2,0,1,0,0
5,29,13,22,3,0,0,1,0
5,30,13,22,4,0,0,1,0
5,31,13,23,4,0,1,0,0
5,32,13,24,4,0,1,0,0
5,33,13,25,4,0,1,0,0
5,34,13,26,4,0,1,0,0
5,35,13,27,4,0,1,0,0
5,36,13,28,4,0,1,0,0
5,37,13,28,5,0,0,1,0
5,38,13,29,5,0,1,0,0
5,39,13,30,5,0,1,0,0
5,40,13,30,6,0,0,1,0
5,41,13,30,7,0,0,1,0
6,1,10,0,0,0,0,0,0
6,2,10,1,0,0,1,0,0
6,3,11,1,0,1,0,0,0
6,4,11,2,0,0,1,0,0
6,5,11,3,0,0,1,0,0
6,6,11,4,0,0,1,0,0
6,7,11,5,0,0,1,0,0
6,8,11,6,0,0,1,0,0
6,9,11,7,0,0,1,0,0
6,10,11,8,0,0,1,0,0
6,11,11,9,0,0,1,0,0
6,12,11,10,0,0,1,0,0
6,13,11,11,0,0,1,0,0
6,14,11,12,0,0,1,0,0
6,15,11,13,0,0,1,0,0
6,16,11,14,0,0,1,0,0
6,17,11,15,0,0,1,0,0
6,18,11,16,0,0,1,0,0
6,19,11,17,0,0,1,0,0
6,20,11,18,0,0,1,0,0
6,21,11,19,0,0,1,0,0
6,22,12,19,0,1,0,0,0
6,23,12,19,1,0,0,1,0
6,24,12,20,1,0,1,0,0
