"idx","period","school","exp1","exp2","school_c","work1","work2","home"
1,1,10,0,1,0,0,1,0
1,2,11,0,1,1,0,0,0
1,3,12,0,1,1,0,0,0
1,4,13,0,1,1,0,0,0
1,5,14,0,1,1,0,0,0
1,6,15,0,1,1,0,0,0
1,7,15,0,2,0,0,1,0
1,8,15,0,3,0,0,1,0
1,9,15,0,4,0,0,1,0
1,10,15,0,5,0,0,1,0
1,11,15,0,6,0,0,1,0
1,12,15,0,7,0,0,1,0
1,13,16,0,7,1,0,0,0
1,14,16,0,8,0,0,1,0
1,15,16,0,9,0,0,1,0
1,16,16,0,10,0,0,1,0
1,17,16,0,11,0,0,1,0
1,18,16,0,12,0,0,1,0
1,19,16,1,12,0,1,0,0
1,20,16,1,13,0,0,1,0
1,21,16,1,14,0,0,1,0
1,22,16,1,15,0,0,1,0
1,23,16,1,16,0,0,1,0
1,24,16,1,17,0,0,1,0
1,25,16,1,18,0,0,1,0
1,26,16,1,19,0,0,1,0
1,27,16,1,20,0,0,1,0
1,28,16,1,21,0,0,1,0
1,29,16,1,22,0,0,1,0
1,30,16,1,23,0,0,1,0
1,31,16,1,24,0,0,1,0
1,32,16,1,25,0,0,1,0
1,33,16,1,26,0,0,1,0
1,34,16,1,27,0,0,1,0
1,35,16,1,28,0,0,1,0
1,36,16,1,29,0,0,1,0
1,37,16,1,30,0,0,1,0
1,38,16,1,31,0,0,1,0
1,39,16,1,32,0,0,1,0
1,40,16,1,33,0,0,1,0
2,1,10,1,0,0,1,0,0
2,2,11,1,0,1,0,0,0
2,3,12,1,0,1,0,0,0
2,4,13,1,0,1,0,0,0
2,5,14,1,0,1,0,0,0
2,6,14,1,1,0,0,1,0
2,7,14,1,2,0,0,1,0
2,8,15,1,2,1,0,0,0
2,9,15,2,2,0,1,0,0
2,10,15,3,2,0,1,0,0
2,11,15,3,3,0,0,1,0
2,12,15,3,4,0,0,1,0
2,13,15,3,5,0,0,1,0
2,14,15,3,6,0,0,1,0
2,15,15,3,7,0,0,1,0
2,16,15,3,8,0,0,1,0
2,17,15,3,9,0,0,1,0
2,18,15,4,9,0,1,0,0
2,19,15,4,10,0,0,1,0
2,20,15,4,11,0,0,1,0
2,21,15,4,12,0,0,1,0
2,22,15,4,13,0,0,1,0
2,23,15,4,14,0,0,1,0
